Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
ASAM e.V.,"Governance: Standards, Safety & Advocacy",Keeper of the OpenX file formats behind AV simulation,Passenger loop,Standards/Safety Body,Höhenkirchen,,Germany,Europe,1998,,,,,,,,,Active standard setter,Automotive standardization association whose OpenX standards support simulation-based testing of ADAS and automated driving.,,https://asam.net,Global,Managing Director: Benjamin Engel,Standards development and member services,Non-profit standards association,,Global automotive simulation and test ecosystem,"Standards list includes OpenDRIVE, OpenSCENARIO, OpenODD, OpenLABEL, OSI and OpenCRG",ASAM is the practical file-format backbone of AV simulation and scenario exchange,0,,9
ASAM OpenDRIVE,"Governance: Standards, Safety & Advocacy","Road-network exchange format, version 1.9.0 shipped May 2026",Passenger loop,Standards/Safety Body,,,Germany,Europe,2005,,,,,,,,,Published standard,Open road-network description format used to exchange logical road networks across simulators and tools.,,https://asam.net,Global,ASAM project groups,Open simulation standard,Standard,,Global simulation tooling ecosystem,Current version 1.9.0 released May 2026,"Important because HD maps, simulation and scenario tools need a common road-network representation",0,,9
ASAM OpenLABEL,"Governance: Standards, Safety & Advocacy",Common annotation format linking labeling to validation,Passenger loop,Standards/Safety Body,,,Germany,Europe,,,,,,,,,,Published standard,Labeling standard for object and scene annotation data used in ADAS/AD development.,,https://asam.net,Global,ASAM project groups,Open data annotation standard,Standard,,Global data-labeling ecosystem,Listed by ASAM as OpenX simulation/data standard,Connects data labeling to simulation and validation workflows,0,,8
ASAM OpenODD,"Governance: Standards, Safety & Advocacy",Machine-readable ODD spec bridging safety cases and insurers,Passenger loop,Standards/Safety Body,,,Germany,Europe,,,,,,,,,,Active standard / project,Standardization work for machine-readable operational design domain representation.,,https://asam.net,Global,ASAM project groups,Open simulation / ODD standard,Standard / project,,Global simulation and safety-case ecosystem,Listed by ASAM as an OpenX simulation standard,"ODD data is becoming a bridge between safety cases, regulators and insurers",0,,8
ASAM OpenSCENARIO DSL,"Governance: Standards, Safety & Advocacy",Scenario-authoring language for scalable simulation tests,Passenger loop,Standards/Safety Body,,,Germany,Europe,,,,,,,,,,Published / active standard,Domain-specific language for scenario description in simulation-based testing.,,https://asam.net,Global,ASAM project groups,Open simulation standard,Standard,,Global simulation tooling ecosystem,Listed by ASAM as an OpenX simulation standard,A useful abstraction layer for scalable test-scenario authoring,0,,8
ASAM OpenSCENARIO XML,"Governance: Standards, Safety & Advocacy",Vendor-neutral XML for exchanging dynamic driving scenarios,Passenger loop,Standards/Safety Body,,,Germany,Europe,,,,,,,,,,Published standard,Scenario description standard for dynamic content in driving and traffic simulation.,,https://asam.net,Global,ASAM project groups,Open simulation standard,Standard,,Global simulation tooling ecosystem,Listed by ASAM as an OpenX simulation standard,Critical for exchange of simulation scenarios across vendors,0,,8
ASAM OSI,"Governance: Standards, Safety & Advocacy",Open interface wiring sensors and simulators to AV stacks,Passenger loop,Standards/Safety Body,,,Germany,Europe,,,,,,,,,,Published standard,Open Simulation Interface for sensor and environment data exchange in simulation.,,https://asam.net,Global,ASAM project groups,Open simulation standard,Standard,,Global simulation tooling ecosystem,Listed by ASAM as OpenX simulation standard,"Important to connect simulators, sensors and automated-driving stacks",0,,8
Automated Vehicle Safety Consortium (AVSC),"Governance: Standards, Safety & Advocacy",Precompetitive library of AV safety best practices and terms,Passenger loop,Standards/Safety Body,SAE ITC,,US,North America,2019,,,,,,,,,Active safety consortium,Precompetitive industry consortium publishing AV safety best practices and common terminology.,,,United States; selected international influence,Consortium leadership under SAE ITC,Membership consortium and best-practice publications,Industry consortium,,US-centered with global OEM and AV influence,"Best-practice library across safety case, data, interactions, and operational domains",Continues to be one of the clearest private-sector safety coordination venues,0,,8
Autonomous Vehicle Industry Association (AVIA),"Governance: Standards, Safety & Advocacy",Washington policy voice for robotaxi and AV trucking developers,Passenger loop,Association/Advocacy,USA,DC,US,North America,2016,,,,,,,,,Active advocacy body,U.S. trade association advocating for safe and timely deployment of autonomous driving technology.,,https://theavindustry.org,United States; selected international influence,CEO: Jeff Farrah,Trade association advocacy,Industry trade association,,United States; international policy influence,2026 State of AV report and federal/state/international policy work,"Central policy voice for robotaxi, trucking and AV developer interests",0,,9
AUVSI,"Governance: Standards, Safety & Advocacy","Autonomy advocacy spanning air, ground, maritime and cyber",Passenger loop,Association/Advocacy,USA,VA,US,North America,1972,,,,,,,,,Active association,"Association for uncrewed systems, autonomy and robotics across air, ground, maritime and cyber domains.",,https://auvsi.org,United States; selected international influence,President/CEO: Michael Robbins,"Trade association, events, advocacy",Industry association,,Global; US policy focus,Members across uncrewed systems and autonomy markets,Broader autonomy policy bridge beyond road AVs,0,,9
AVIA,"Governance: Standards, Safety & Advocacy",Published its third annual State of AV report in 2026,Passenger loop,Association/Advocacy,USA,DC,US,North America,2016,,,,,,,,,Active advocacy body,Autonomous Vehicle Industry Association advocates for AV deployment policy and industry positions in the US.,,https://theavindustry.org,United States,Jeff Farrah (Executive Director),Advocacy / industry association,Association,"Members: Waymo, Zoox, Aurora, others",United States,Advocates on federal/state AV policy,Released 3rd annual State of AV report (2026),0,,9
AVSC,"Governance: Standards, Safety & Advocacy","Waymo, Zoox, Aurora, Motional and Torc safety consortium",Passenger loop,Standards/Safety Body,SAE ITC program,,US,North America,2019,,,,,,,,,Active consortium,Automated Vehicle Safety Consortium develops best-practice guidance for safe AV development and deployment.,,,Global members,SAE Industry Technologies Consortia program leadership,Consortium standards / guidance,Consortium,"Members: Waymo, Zoox, Aurora, Motional, Torc",Global / US AV developers,Publishes AV safety best practices,"Members include Waymo, Zoox, Aurora, Motional, Torc (2026)",0,,8
CEN/TC 278 Intelligent Transport Systems,"Governance: Standards, Safety & Advocacy",European committee for ITS and mobility data interoperability,Passenger loop,Standards/Safety Body,Brussels,,Belgium,Europe,,,,,,,,,,Active standard setter,European technical committee for Intelligent Transport Systems standardization.,,https://cen.eu,United States; selected international influence,Technical committee leadership varies,Standards development,Standards committee,,Europe,"Works across traffic, mobility, data exchange and ITS domains",Relevant to European infrastructure and mobility service interoperability,0,,8
Consumer Reports,"Governance: Standards, Safety & Advocacy",Rates active driving assistance and scrutinizes marketing claims,Passenger loop,Association/Advocacy,USA,NY,US,North America,1936,,,,,,,,,Active public advocate,Consumer advocacy and product-testing organization that evaluates ADAS and criticizes misleading automation claims.,,https://consumerreports.org,United States; selected international influence,President/CEO: Marta Tellado,"Consumer testing, advocacy, membership/subscriptions",Non-profit consumer organization,Subscriber/donor-funded,United States; broad media influence,Publishes active driving-assistance ratings and safety critiques,"Strong external pressure node on driver monitoring, naming and consumer messaging",0,,9
ETSI TC ITS,"Governance: Standards, Safety & Advocacy",Writes Europe's V2X and cooperative-ITS communications specs,Passenger loop,Standards/Safety Body,Sophia Antipolis,,France,Europe,,,,,,,,,,Active standard setter,European standards body committee for Intelligent Transport Systems and V2X communications.,,https://etsi.org,United States; selected international influence,ETSI technical committee leadership,Standards development,Standards committee,,Europe with global V2X influence,Develops ITS communications specifications,Critical for European V2X and cooperative driving interoperability,0,,8
